| time |   in   |reset|  j  | zr  | ng  |  out   |
| 0+   |      0 |  0  | 000 |  0  |  0  |      0 |
| 1    |      0 |  0  | 000 |  0  |  0  |      1 |
| 1+   |      1 |  0  | 000 |  0  |  0  |      1 |
| 2    |      1 |  0  | 000 |  0  |  0  |      2 |
| 2+   |      2 |  0  | 000 |  0  |  0  |      2 |
| 3    |      2 |  0  | 000 |  0  |  0  |      3 |
| 3+   |      3 |  1  | 000 |  0  |  0  |      3 |
| 4    |      3 |  1  | 000 |  0  |  0  |      0 |
| 4+   |      0 |  0  | 000 |  1  |  0  |      0 |
| 5    |      0 |  0  | 000 |  1  |  0  |      1 |
| 5+   |     10 |  0  | 010 |  1  |  0  |      1 |
| 6    |     10 |  0  | 010 |  1  |  0  |     10 |
| 6+   |     20 |  0  | 010 |  0  |  0  |     10 |
| 7    |     20 |  0  | 010 |  0  |  0  |     11 |
